Rank,Actor,Earnings,year,img,rank
1,Robert Downey Jr.,80,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg/440px-Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg,1
2,Jennifer Lawrence,52,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Jennifer_Lawrence_in_2016.jpg/440px-Jennifer_Lawrence_in_2016.jpg,2
3,Jackie Chan,50,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Jackie_Chan_July_2016.jpg/440px-Jackie_Chan_July_2016.jpg,3
4,Vin Diesel,47,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Vin_Diesel_%289347077569%29.jpg/440px-Vin_Diesel_%289347077569%29.jpg,4
5,Bradley Cooper,41.5,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Glasto17-44_%2835547413626%29_Cropped.jpg/440px-Glasto17-44_%2835547413626%29_Cropped.jpg,5
6,Adam Sandler,41,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Adam_Sandler_Cannes_2017.jpg/440px-Adam_Sandler_Cannes_2017.jpg,6
7,Tom Cruise,40,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Tom_Cruise_by_Gage_Skidmore_2.jpg/440px-Tom_Cruise_by_Gage_Skidmore_2.jpg,7
8,Scarlett Johansson,35.5,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Scarlett_Johansson_by_Gage_Skidmore_2_%28cropped%2C_2%29.jpg/440px-Scarlett_Johansson_by_Gage_Skidmore_2_%28cropped%2C_2%29.jpg,8
9,Amitabh Bachchan,33.5,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Indian_actor_Amitabh_Bachchan.jpg/440px-Indian_actor_Amitabh_Bachchan.jpg,9
9,Salman Khan,33.5,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Salman_Khan_filmfare.jpg/440px-Salman_Khan_filmfare.jpg,10
1,Dwayne Johnson,64.5,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Dwayne_Johnson_2014_%28cropped%29.jpg/440px-Dwayne_Johnson_2014_%28cropped%29.jpg,1
2,Jackie Chan,61,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Jackie_Chan_July_2016.jpg/440px-Jackie_Chan_July_2016.jpg,2
3,Matt Damon,55,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Matt_Damon_TIFF_2015.jpg/440px-Matt_Damon_TIFF_2015.jpg,3
4,Tom Cruise,53,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Tom_Cruise_by_Gage_Skidmore_2.jpg/440px-Tom_Cruise_by_Gage_Skidmore_2.jpg,4
5,Johnny Depp,48,2016,https://upload.wikimedia.org/wikipedia/commons/2/21/Johnny_Depp_2020.jpg,5
6,Jennifer Lawrence,46,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Jennifer_Lawrence_in_2016.jpg/440px-Jennifer_Lawrence_in_2016.jpg,6
7,Ben Affleck,43,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Ben_Affleck_by_Gage_Skidmore_3.jpg/440px-Ben_Affleck_by_Gage_Skidmore_3.jpg,7
8,Vin Diesel,35,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Vin_Diesel_%289347077569%29.jpg/440px-Vin_Diesel_%289347077569%29.jpg,8
9,Melissa McCarthy,33,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Melissa_McCarthy_in_2018_%28cropped%29.jpg/440px-Melissa_McCarthy_in_2018_%28cropped%29.jpg,9
10,Shah Rukh Khan,33,2016,https://upload.wikimedia.org/wikipedia/commons/6/6e/Shah_Rukh_Khan_graces_the_launch_of_the_new_Santro.jpg,10
1,Mark Wahlberg,68,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mark_Wahlberg_2021.jpg/440px-Mark_Wahlberg_2021.jpg,1
2,Dwayne Johnson,65,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Dwayne_Johnson_2014_%28cropped%29.jpg/440px-Dwayne_Johnson_2014_%28cropped%29.jpg,2
3,Vin Diesel,54.5,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Vin_Diesel_%289347077569%29.jpg/440px-Vin_Diesel_%289347077569%29.jpg,3
4,Adam Sandler,50.5,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Adam_Sandler_Cannes_2017.jpg/440px-Adam_Sandler_Cannes_2017.jpg,4
5,Jackie Chan,49,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Jackie_Chan_July_2016.jpg/440px-Jackie_Chan_July_2016.jpg,5
6,Robert Downey Jr.,48,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg/440px-Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg,6
7,Tom Cruise,43,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Tom_Cruise_by_Gage_Skidmore_2.jpg/440px-Tom_Cruise_by_Gage_Skidmore_2.jpg,7
8,Shah Rukh Khan,38,2017,https://upload.wikimedia.org/wikipedia/commons/6/6e/Shah_Rukh_Khan_graces_the_launch_of_the_new_Santro.jpg,8
9,Salman Khan,37,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Salman_Khan_filmfare.jpg/440px-Salman_Khan_filmfare.jpg,9
10,Akshay Kumar,35.5,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Akshay_Kumar.jpg/440px-Akshay_Kumar.jpg,10
1,George Clooney,239,2018,https://upload.wikimedia.org/wikipedia/commons/8/8d/George_Clooney_2016.jpg,1
2,Dwayne Johnson,124,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Dwayne_Johnson_2014_%28cropped%29.jpg/440px-Dwayne_Johnson_2014_%28cropped%29.jpg,2
3,Robert Downey Jr.,81,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg/440px-Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg,3
4,Chris Hemsworth,64.5,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Chris_Hemsworth_by_Gage_Skidmore_2_%28cropped%29.jpg/440px-Chris_Hemsworth_by_Gage_Skidmore_2_%28cropped%29.jpg,4
5,Jackie Chan,45.5,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Jackie_Chan_July_2016.jpg/440px-Jackie_Chan_July_2016.jpg,5
6,Will Smith,42,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg/440px-TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg,6
7,Scarlett Johansson,40.5,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Scarlett_Johansson_by_Gage_Skidmore_2_%28cropped%2C_2%29.jpg/440px-Scarlett_Johansson_by_Gage_Skidmore_2_%28cropped%2C_2%29.jpg,7
7,Akshay Kumar,40.5,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Akshay_Kumar.jpg/440px-Akshay_Kumar.jpg,8
9,Adam Sandler,39.5,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Adam_Sandler_Cannes_2017.jpg/440px-Adam_Sandler_Cannes_2017.jpg,9
10,Salman Khan,38.5,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Salman_Khan_filmfare.jpg/440px-Salman_Khan_filmfare.jpg,10
1,Dwayne Johnson,89.4,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Dwayne_Johnson_2014_%28cropped%29.jpg/440px-Dwayne_Johnson_2014_%28cropped%29.jpg,1
2,Chris Hemsworth,76.4,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Chris_Hemsworth_by_Gage_Skidmore_2_%28cropped%29.jpg/440px-Chris_Hemsworth_by_Gage_Skidmore_2_%28cropped%29.jpg,2
3,Robert Downey Jr.,66,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg/440px-Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg,3
4,Akshay Kumar,65,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Akshay_Kumar.jpg/440px-Akshay_Kumar.jpg,4
5,Jackie Chan,58,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Jackie_Chan_July_2016.jpg/440px-Jackie_Chan_July_2016.jpg,5
6,Bradley Cooper,57,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Glasto17-44_%2835547413626%29_Cropped.jpg/440px-Glasto17-44_%2835547413626%29_Cropped.jpg,6
6,Adam Sandler,57,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Adam_Sandler_Cannes_2017.jpg/440px-Adam_Sandler_Cannes_2017.jpg,7
